Var1,C6H,C6R,C6K,C32H,C32R,C32K,CellType,Size,Polydispersity,Uptake,ACTN1,ACTN2,ACTN3,ACTN4,AGRIN,BDNF,CAV1,CAV2,CAV3,CD44,CFL2,COL4A1,COL6A1,COL6A2,COL9A2,CSF1,EGFR,ETS1,FGF1,FGF18,FGF6,FGF9,FGFR2,FLNA,FSCN1,FZD2,GNAI2,GNG12,IL7R,ITGA3,ITGA5,ITGA6,ITGB1,ITGB6,ITGB8,MET,MSN,MYH9,MYLK,NGF,NOTCH2,NOTCH3,OSMR,PDGFC,PLAU,RRAS,RRAS2,SDC4,TGFB1,THBS1,VEGFC,VIM,ZYX
11,0,100,0,0,0,0,OVCAR4,102,0.04305,37.75,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
12,0,0,100,0,0,0,OVCAR4,651.5,0.0748,62,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
13,0,0,0,20,80,0,OVCAR4,578.5,0.11765,46,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
14,0,0,0,40,60,0,OVCAR4,548.5,0.0229,50.75,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
15,0,0,0,80,20,0,OVCAR4,409.5,0.138,24.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
16,0,0,0,0,80,20,OVCAR4,225,0.09275,77.5,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
17,0,0,0,0,60,40,OVCAR4,173.5,0.66,83.5,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
18,0,0,0,0,20,80,OVCAR4,100.6,0.683,85,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
19,0,0,0,80,0,20,OVCAR4,385.5,0.0985,64,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
20,0,0,0,60,0,40,OVCAR4,151,0.0648,79,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
21,0,0,0,20,0,80,OVCAR4,80.35,0.7365,87,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
22,0,0,0,100,0,0,OVCAR4,261,0.3845,1.25,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
23,0,0,0,0,100,0,OVCAR4,81.8,0.186,52.75,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
24,0,0,0,0,0,100,OVCAR4,71.2,0.5145,77,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
25,20,0,0,0,80,0,OVCAR4,70.4,0.2265,49,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
26,40,0,0,0,60,0,OVCAR4,421.5,0.0458,41.75,2.80827139904259,-5.29039146400727,-1.22609094073441,0.43432176157701,-0.32822470180407,-4.53537741931894,-0.501231783855914,-2.81812581535633,-4.02314322387595,-1.0574876706012,-1.29140258734982,-0.224629550311001,-2.1001187335031,-3.62805753178995,-1.83187742425092,-4.71285699485486,-2.63485894245577,-3.53728616455894,-4.45569029126056,1.79961795099096,-5.37476356247568,-0.163780397645673,-3.39209568699571,1.48657140609253,-2.58079860932588,-1.56175100769779,-2.48106545674909,-1.1801967838183,-5.49281396715248,-1.32112132122649,-3.70367466574546,-3.40592198797465,0.37769787766946,-3.83213668610096,-2.10781799191523,-1.2999778670263,-2.45299243456226,1.90755585645898,-1.34190048926783,-3.43456581090287,-1.57222594317422,-4.86967689662279,-3.78864574504319,-1.30173939095291,0.696005346042307,-0.109483391782652,-0.174821356495398,0.295070911122286,-3.68327744020178,-1.92583477432969,-5.18959047120298,1.66562388043009,0.637385725693852
